Product,Category,Price,Date,Quantity,Revenue,Sales_Level,Discount,Final_Revenue,Month
Laptop,Electronics,1500,2024-01-15,2,3000,High,300.0,2700.0,1
Phone,Electronics,800,2024-02-10,5,4000,High,400.0,3600.0,2
Chair,Furniture,120,2024-03-15,3,360,Low,18.0,342.0,3
Desk,Furniture,300,2024-03-18,1,300,Low,15.0,285.0,3
Headphone,Accessories,200,2024-04-12,4,800,Medium,40.0,760.0,4
Monitor,Electronics,600,2024-05-20,2,1200,Medium,120.0,1080.0,5
Sofa,Furniture,700,2024-06-20,1,700,Medium,35.0,665.0,6
Keyboard,Accessories,150,2024-02-08,6,900,Medium,45.0,855.0,2
Mouse,Accessories,50,2024-07-14,8,400,Low,20.0,380.0,7
Tablet,Electronics,400,2024-09-30,3,1200,Medium,120.0,1080.0,9
